time,ax,ay,az
13.056711,0.0766,-0.5089,0.485
13.057897,0.2111,0.4088,-0.0203
13.069058,0.2111,0.4088,-0.0203
13.070013,0.2111,0.4088,-0.0203
13.070842,0.2111,0.4088,-0.0203
13.127483,0.2111,0.4088,-0.0203
13.128428,0.2111,0.4088,-0.0203
13.128824,0.2111,0.4088,-0.0203
13.132729,1.6231,-0.0078,2.2206
13.134411,1.6231,-0.0078,2.2206
13.187613,1.6231,-0.0078,2.2206
13.188968,1.6231,-0.0078,2.2206
13.189774,1.6231,-0.0078,2.2206
13.210761,1.6231,-0.0078,2.2206
13.212335,2.1241,-0.7577,2.9503
13.247777,2.1241,-0.7577,2.9503
13.249276,2.1241,-0.7577,2.9503
13.250295,2.1241,-0.7577,2.9503
13.253309,1.667,-1.0799,2.7355
13.255651,1.667,-1.0799,2.7355
13.305681,1.667,-1.0799,2.7355
13.307068,1.667,-1.0799,2.7355
13.308236,1.667,-1.0799,2.7355
13.326373,0.913,-0.8027,1.3632
13.32799,0.913,-0.8027,1.3632
13.365215,0.913,-0.8027,1.3632
13.366725,0.913,-0.8027,1.3632
13.367671,0.913,-0.8027,1.3632
13.402471,1.7901,-0.8671,-3.0796
13.40425,1.7901,-0.8671,-3.0796
13.423615,1.7901,-0.8671,-3.0796
13.425089,1.7901,-0.8671,-3.0796
13.426138,1.7901,-0.8671,-3.0796
13.479936,0.265,0.2032,-3.6707
13.482092,0.265,0.2032,-3.6707
13.482818,0.265,0.2032,-3.6707
13.483729,0.265,0.2032,-3.6707
13.484408,0.265,0.2032,-3.6707
13.517777,0.265,0.2032,-3.6707
13.520003,-0.3076,0.3839,-3.9985
13.540961,-0.3076,0.3839,-3.9985
13.542379,-0.3076,0.3839,-3.9985
13.543363,-0.3076,0.3839,-3.9985
13.595087,-1.1736,0.8696,-2.71
13.597113,-1.1736,0.8696,-2.71
13.59983,-1.1736,0.8696,-2.71
13.600673,-1.1736,0.8696,-2.71
13.601315,-1.1736,0.8696,-2.71
13.658784,-1.1736,0.8696,-2.71
13.660429,-1.1736,0.8696,-2.71
13.661313,-1.1736,0.8696,-2.71
13.672109,1.5873,2.0982,0.9353
13.673706,1.5873,2.0982,0.9353
13.718475,1.5873,2.0982,0.9353
13.719804,1.5873,2.0982,0.9353
13.720525,1.5873,2.0982,0.9353
13.749204,1.1,1.8482,0.9694
13.751259,1.1,1.8482,0.9694
13.77751,1.1,1.8482,0.9694
13.778428,1.1,1.8482,0.9694
13.778802,1.1,1.8482,0.9694
13.78757,-0.9203,1.3993,1.5097
13.788448,-0.9203,1.3993,1.5097
13.836017,-0.9203,1.3993,1.5097
13.836846,-0.9203,1.3993,1.5097
13.837229,-0.9203,1.3993,1.5097
13.864947,-0.9203,1.3993,1.5097
13.866593,-0.141,-0.4426,1.9225
13.895596,-0.141,-0.4426,1.9225
13.897076,-0.141,-0.4426,1.9225
13.897974,-0.141,-0.4426,1.9225
13.940766,-0.8711,-1.3008,0.8826
13.94286,-0.8711,-1.3008,0.8826
13.954421,-0.8711,-1.3008,0.8826
13.955625,-0.8711,-1.3008,0.8826
13.956229,-0.8711,-1.3008,0.8826
14.012758,-0.8711,-1.3008,0.8826
14.013905,-0.8711,-1.3008,0.8826
14.014276,-0.8711,-1.3008,0.8826
14.017404,-0.6752,-1.0968,-2.1559
14.018293,-0.6752,-1.0968,-2.1559
14.056696,-0.6752,-1.0968,-2.1559
14.058188,-0.6752,-1.0968,-2.1559
14.071821,-0.6752,-1.0968,-2.1559
14.07338,-0.6752,-1.0968,-2.1559
14.07426,-0.6752,-1.0968,-2.1559
14.130427,-0.6752,-1.0968,-2.1559
14.131826,-0.6752,-1.0968,-2.1559
14.132713,-0.6752,-1.0968,-2.1559
14.13383,0.401,0.6653,-0.0143
14.135235,0.401,0.6653,-0.0143
14.189921,0.401,0.6653,-0.0143
14.19124,0.401,0.6653,-0.0143
14.193365,0.401,0.6653,-0.0143
14.210743,0.401,0.6653,-0.0143
14.212386,1.4929,0.8366,1.7156
14.250432,1.4929,0.8366,1.7156
14.252107,1.4929,0.8366,1.7156
14.253318,1.4929,0.8366,1.7156
14.285892,1.3156,0.7488,1.0544
14.287072,1.3156,0.7488,1.0544
14.307029,1.3156,0.7488,1.0544
14.307871,1.3156,0.7488,1.0544
14.308437,1.3156,0.7488,1.0544
